indice,nombre,id,latitud,longitud,altitud,descripcion,carpeta,datos_extendidos,enlaces
1,Placemark_1,id_1,31.122383,-81.5380936,0,,,,
2,Placemark_2,id_2,29.3155905,-94.7827009,0,,,{'id': '1'},
3,Placemark_3,id_3,39.2149581,-76.4903807,0,,,{'id': '2'},
4,Placemark_4,id_4,35.0289116,-81.907365,0,,,{'id': '3'},
5,Placemark_5,id_5,38.898338,-77.0182092,0,,,{'id': '4'},
6,Placemark_6,id_6,40.7704561,-73.9903111,0,,,{'id': '5'},
7,Placemark_7,id_7,32.6332763,-96.8089321,0,,,{'id': '6'},
8,Placemark_8,id_8,42.0606616,-88.0698552,0,,,{'id': '7'},
9,Placemark_9,id_9,41.4530602,-88.3019626,0,,,{'id': '8'},
10,Placemark_10,id_10,39.9732338,-83.0404867,0,,,{'id': '9'},
11,Placemark_11,id_11,41.034864,-74.073032,0,,,{'id': '10'},
12,Placemark_12,id_12,40.7247224,-75.2864844,0,,,{'id': '11'},
13,Placemark_13,id_13,34.904563,-82.1793039,0,,,{'id': '12'},
14,Placemark_14,id_14,34.9062343,-82.1619998,0,,,{'id': '13'},
15,Placemark_15,id_15,34.8849534,-82.1629022,0,,,{'id': '14'},
16,Placemark_16,id_16,34.9031982,-82.1903055,0,,,{'id': '15'},
17,Placemark_17,id_17,33.6016646,-116.1536134,0,,,{'id': '16'},
18,Placemark_18,id_18,34.0732089,-117.2153962,0,,,{'id': '17'},
19,Placemark_19,id_19,34.0530261,-117.5610909,0,,,{'id': '18'},
20,Placemark_20,id_20,34.1458577,-119.1715245,0,,,{'id': '19'},
21,Placemark_21,id_21,34.1433756,-119.170681,0,,,{'id': '20'},
22,Placemark_22,id_22,37.425857,-122.0978943,0,,,{'id': '21'},
23,Placemark_23,id_23,37.8961954,-121.267003,0,,,{'id': '22'},
24,Placemark_24,id_24,38.5810886,-121.4948894,0,,,{'id': '23'},
25,Placemark_25,id_25,34.9058378,-82.0864082,0,,,{'id': '24'},
26,Placemark_26,id_26,34.8142702,-82.3259023,0,,,{'id': '25'},
27,Placemark_27,id_27,30.3919104,-81.7740658,0,,,{'id': '26'},
28,Placemark_28,id_28,33.6209616,-84.4971081,0,,,{'id': '27'},
29,Placemark_29,id_29,40.6807995,-74.0819449,0,,,{'id': '28'},
30,Placemark_30,id_30,34.9120065,-82.1858215,0,,,{'id': '29'},
31,Placemark_31,id_31,34.931469,-82.1967254,0,,,{'id': '30'},
32,Placemark_32,id_32,34.8787903,-82.1294911,0,,,{'id': '31'},
33,Placemark_33,id_33,34.9030376,-82.183253,0,,,{'id': '32'},
34,Placemark_34,id_34,39.1754997,-76.5495382,0,,,{'id': '33'},
35,Placemark_35,id_35,42.0517599,-71.3985598,0,,,{'id': '34'},
36,Placemark_36,id_36,40.5324758,-74.5535027,0,,,{'id': '35'},
37,Placemark_37,id_37,25.8751002,-80.3616957,0,,,{'id': '36'},
38,Placemark_38,id_38,34.0216854,-118.4787056,0,,,{'id': '37'},
39,Placemark_39,id_39,34.8071098,-82.3454818,0,,,{'id': '38'},
40,Placemark_40,id_40,36.2874911,-115.0215909,0,,,{'id': '39'},
41,Placemark_41,id_41,40.6338608,-111.8115217,0,,,{'id': '40'},
42,Placemark_42,id_42,39.9150803,-83.0138203,0,,,{'id': '41'},
43,Placemark_43,id_43,40.7411621,-74.004856,0,,,{'id': '42'},
44,Placemark_44,id_44,34.7559897,-82.0597657,0,,,{'id': '43'},
45,Placemark_45,id_45,40.1104051,-74.7058484,0,,,{'id': '44'},
46,Placemark_46,id_46,33.9578316,-117.4421766,0,,,{'id': '45'},
47,Placemark_47,id_47,34.9030376,-82.183253,0,,,{'id': '46'},
48,Placemark_48,id_48,41.0297711,-74.0727664,0,,,{'id': '47'},
49,Placemark_49,id_49,34.1599885,-119.1274334,0,,,{'id': '48'},
50,Placemark_50,id_50,37.425857,-122.0978943,0,,,{'id': '49'},
51,Placemark_51,id_51,40.7173399,-74.1288945,0,,,{'id': '50'},
52,Placemark_52,id_52,40.7242631,-75.2832455,0,,,{'id': '51'},
53,Placemark_53,id_53,41.028897,-74.071981,0,,,{'id': '52'},
54,Placemark_54,id_54,41.028897,-74.071981,0,,,{'id': '53'},
55,Placemark_55,id_55,41.028897,-74.071981,0,,,{'id': '54'},
56,Placemark_56,id_56,33.6454181,-84.4536508,0,,,{'id': '55'},
57,Placemark_57,id_57,40.7247224,-75.2864844,0,,,{'id': '56'},
58,Placemark_58,id_58,30.3919104,-81.7740658,0,,,{'id': '57'},
59,Placemark_59,id_59,41.4530602,-88.3019626,0,,,{'id': '58'},
60,Placemark_60,id_60,37.8961954,-121.267003,0,,,{'id': '59'},
61,Placemark_61,id_61,32.6332763,-96.8089321,0,,,{'id': '60'},
62,Placemark_62,id_62,34.0732089,-117.2153962,0,,,{'id': '61'},
63,Placemark_63,id_63,34.1413042,-119.1732507,0,,,{'id': '62'},
64,Placemark_64,id_64,40.7242631,-75.2832455,0,,,{'id': '63'},
65,Placemark_65,id_65,40.0065211,-83.1388937,0,,,{'id': '64'},
66,Placemark_66,id_66,40.0040725,-83.1332705,0,,,{'id': '65'},
67,Placemark_67,id_67,40.7368752,-73.9399959,0,,,{'id': '66'},
68,Placemark_68,id_68,33.7350309,-84.4276062,0,,,{'id': '67'},
