latitude,longitude,address,country,state,city,postcode
45.804837,-87.0946863,"County 426 M.5 Road, Wells Township, MI 49837, United States of America",United States,Michigan,Wells Township,49837
45.79609,-87.9599977,"US-2, Quinnesec, Breitung Township, MI 49876, United States of America",United States,Michigan,Breitung Township,49876
44.3921873,-89.8237875,"Jennings Company, 210 1st Street North, Wisconsin Rapids, WI 54494, United States of America",United States,Wisconsin,,54494
44.6643253,-89.6521581,"Dam Road, Eau Pleine, WI, United States of America",United States,Wisconsin,Town of Eau Pleine,
44.4870308,-89.5700678,"2616 Whiting Road, Whiting, Portage County, WI 54481, United States of America",United States,Wisconsin,,54481
44.4290752,-89.7809916,"Beaver Street, Biron, Wood County, WI 54475, United States of America",United States,Wisconsin,,54475
44.5167936,-89.5833591,"Arlington Place, Stevens Point, WI 54481, United States of America",United States,Wisconsin,Stevens Point,54481
44.401908,-89.7867898,"3200 Kingston Road, Wisconsin Rapids, WI 54494, United States of America",United States,Wisconsin,,54494
44.398806,-89.8307412,"484 7th Avenue North, Wisconsin Rapids, WI 54495, United States of America",United States,Wisconsin,,54495
42.0490646,-88.0323016,"1101 Perimeter Drive, Schaumburg, IL 60173, United States of America",United States,Illinois,,60173
42.1766834,-71.1907006,"100 River Ridge Drive, Norwood, MA 02062, United States of America",United States,Massachusetts,,02062
45.875054,-90.4184,"East Central Avenue, Fifield, Price County, WI 54524, United States of America",United States,Wisconsin,,54524
44.419396,-89.784929,"Bluebird Lane, Biron, Wood County, WI 54494, United States of America",United States,Wisconsin,,54494
44.419396,-89.784929,"Bluebird Lane, Biron, Wood County, WI 54494, United States of America",United States,Wisconsin,,54494
44.4021913,-89.7803667,"Kingston Road, Grand Rapids, WI 54494, United States of America",United States,Wisconsin,Town of Grand Rapids,54494
44.5167936,-89.5833591,"Arlington Place, Stevens Point, WI 54481, United States of America",United States,Wisconsin,Stevens Point,54481
44.397046,-89.824907,"unnamed road, Wisconsin Rapids, WI 54495, United States of America",United States,Wisconsin,,54495
44.498983,-89.60463,"Rocky Run Road, Linwood, WI 54481, United States of America",United States,Wisconsin,Town of Linwood,54481
44.404856,-89.8278671,"1401 5th Avenue North, Wisconsin Rapids, WI 54495, United States of America",United States,Wisconsin,,54495
44.4188152,-89.8281415,"unnamed road, Wisconsin Rapids, WI 54495, United States of America",United States,Wisconsin,,54495
44.5052468,-89.5945098,"2713 West River Drive, Stevens Point, WI 54481, United States of America",United States,Wisconsin,Stevens Point,54481
46.7310334,-88.4340639,"Mead Road, Brennans, LAnse Township, MI 49946, United States of America",United States,Michigan,LAnse Township,49946
44.3934151,-89.8269095,"West Jackson Street, Wisconsin Rapids, WI 54495, United States of America",United States,Wisconsin,,54495
45.8055266,-87.9953359,"US-2, Quinnesec, Breitung Township, MI 49876, United States of America",United States,Michigan,Breitung Township,49876
39.6010318,-84.2346806,"Discovery Place, Austin Landing, 10100 Innovation Drive, Miamisburg, OH 45342, United States of America",United States,Ohio,,45342
